Created by PLY version 3.7 (http://www.dabeaz.com/ply)

Unused terminals:

    UMINUS
    MULTILINECOMMENT
    LINECOMMENT

Grammar

Rule 0     S' -> Program
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

  ! COMMA           [ reduce using rule 108 (empty -> .) ]

    IdenComma                      shift and go to state 34
    IdenCommaList                  shift and go to state 43
    empty                          shift and go to state 35

state 35

    (13) IdenCommaList -> empty .

    SEMICOLON       reduce using rule 13 (IdenCommaList -> empty .)


state 36

    (29) Array -> Type LEFTSQRBRACKET RIGHTSQRBRACKET .

    IDEN            reduce using rule 29 (Array -> Type LEFTSQRBRACKET RIGHTSQRBRACKET .)
    LEFTSQRBRACKET  reduce using rule 29 (Array -> Type LEFTSQRBRACKET RIGHTSQRBRACKET .)


state 37

    (15) MethDecl -> MethType IDEN LEFTPARENT Args . RIGHTPARENT Block

    RIGHTPARENT     shift and go to state 44


state 38

    (19) Args -> empty .

    RIGHTPARENT     reduce using rule 19 (Args -> empty .)


state 39

    (20) Formals -> Type . IDEN IdenTypeCommaList
    (29) Array -> Type . LEFTSQRBRACKET RIGHTSQRBRACKET

    IDEN            shift and go to state 45
    LEFTSQRBRACKET  shift and go to state 28


state 40

    (18) Args -> Formals .

    RIGHTPARENT     reduce using rule 18 (Args -> Formals .)


state 41

    (11) FieldDecl -> Type IDEN IdenCommaList SEMICOLON .

    INT             reduce using rule 11 (FieldDecl -> Type IDEN IdenCommaList SEMICOLON .)
    BOOLEAN         reduce using rule 11 (FieldDecl -> Type IDEN IdenCommaList SEMICOLON .)
    STRING          reduce using rule 11 (FieldDecl -> Type IDEN IdenCommaList SEMICOLON .)
    IDEN            reduce using rule 11 (FieldDecl -> Type IDEN IdenCommaList SEMICOLON .)
    VOID            reduce using rule 11 (FieldDecl -> Type IDEN IdenCommaList SEMICOLON .)
    RIGHTBRACE      reduce using rule 11 (FieldDecl -> Type IDEN IdenCommaList SEMICOLON .)


state 42

    (14) IdenComma -> COMMA IDEN .

    COMMA           reduce using rule 14 (IdenComma -> COMMA IDEN .)
    SEMICOLON       reduce using rule 14 (IdenComma -> COMMA IDEN .)


state 43

    (12) IdenCommaList -> IdenComma IdenCommaList .

    SEMICOLON       reduce using rule 12 (IdenCommaList -> IdenComma IdenCommaList .)


state 44

    (15) MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT . Block
    (30) Block -> . LEFTBRACE VarDeclList StmtList RIGHTBRACE

    LEFTBRACE       shift and go to state 47

    Block                          shift and go to state 46

state 45

    (20) Formals -> Type IDEN . IdenTypeCommaList
    (21) IdenTypeCommaList -> . CommaTypeId IdenTypeCommaList
    (22) IdenTypeCommaList -> . empty
    (23) CommaTypeId -> . COMMA Type IDEN
    (108) empty -> .

  ! shift/reduce conflict for COMMA resolved as shift
    COMMA           shift and go to state 50
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

  ! COMMA           [ reduce using rule 108 (empty -> .) ]

    CommaTypeId                    shift and go to state 49
    empty                          shift and go to state 51
    IdenTypeCommaList              shift and go to state 48

state 46

    (15) MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .

    INT             reduce using rule 15 (MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .)
    BOOLEAN         reduce using rule 15 (MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .)
    STRING          reduce using rule 15 (MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .)
    IDEN            reduce using rule 15 (MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .)
    VOID            reduce using rule 15 (MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .)
    RIGHTBRACE      reduce using rule 15 (MethDecl -> MethType IDEN LEFTPARENT Args RIGHTPARENT Block .)


state 47

    (30) Block -> LEFTBRACE . VarDeclList StmtList RIGHTBRACE
    (33) VarDeclList -> . Type IDEN ExpDecl ExpDeclList SEMICOLON VarDeclList
    (34) VarDeclList -> . empty
    (24) Type -> . INT
    (25) Type -> . BOOLEAN
    (26) Type -> . STRING
    (27) Type -> . IDEN
    (28) Type -> . Array
    (108) empty -> .
    (29) Array -> . Type LEFTSQRBRACKET RIGHTSQRBRACKET

  ! shift/reduce conflict for IDEN resolved as shift
  ! shift/reduce conflict for INT resolved as shift
  ! shift/reduce conflict for STRING resolved as shift
    INT             shift and go to state 22
    BOOLEAN         shift and go to state 24
    STRING          shift and go to state 20
    IDEN            shift and go to state 13
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

  ! IDEN            [ reduce using rule 108 (empty -> .) ]
  ! INT             [ reduce using rule 108 (empty -> .) ]
  ! STRING          [ reduce using rule 108 (empty -> .) ]

    VarDeclList                    shift and go to state 52
    Array                          shift and go to state 25
    Type                           shift and go to state 53
    empty                          shift and go to state 54

state 48

    (20) Formals -> Type IDEN IdenTypeCommaList .

    RIGHTPARENT     reduce using rule 20 (Formals -> Type IDEN IdenTypeCommaList .)


state 49

    (21) IdenTypeCommaList -> CommaTypeId . IdenTypeCommaList
    (21) IdenTypeCommaList -> . CommaTypeId IdenTypeCommaList
    (22) IdenTypeCommaList -> . empty
    (23) CommaTypeId -> . COMMA Type IDEN
    (108) empty -> .

  ! shift/reduce conflict for COMMA resolved as shift
    COMMA           shift and go to state 50
    $end            reduce using rule 108 (empty -> .)
    LEFTBRACE       reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    RETURN          reduce using rule 108 (empty -> .)
    IF              reduce using rule 108 (empty -> .)
    BREAK           reduce using rule 108 (empty -> .)
    CONTINUE        reduce using rule 108 (empty -> .)
    IDEN            reduce using rule 108 (empty -> .)
    WHILE           reduce using rule 108 (empty -> .)
    THIS            reduce using rule 108 (empty -> .)
    NEW             reduce using rule 108 (empty -> .)
    INT             reduce using rule 108 (empty -> .)
    STRING          reduce using rule 108 (empty -> .)
    TRUE            reduce using rule 108 (empty -> .)
    FALSE           reduce using rule 108 (empty -> .)
    NULL            reduce using rule 108 (empty -> .)
    LEFTPARENT      reduce using rule 108 (empty -> .)
    NOT             reduce using rule 108 (empty -> .)
    CIENTIFIC       reduce using rule 108 (empty -> .)
    HEXADEC         reduce using rule 108 (empty -> .)
    NUMBER          reduce using rule 108 (empty -> .)
    BINARY          reduce using rule 108 (empty -> .)
    FLOAT           reduce using rule 108 (empty -> .)
    SUBSTRACTION    reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)

  ! COMMA           [ reduce using rule 108 (empty -> .) ]

    CommaTypeId                    shift and go to state 49
    empty                          shift and go to state 51
    IdenTypeCommaList              shift and go to state 55

state 50

    (23) CommaTypeId -> COMMA . Type IDEN
    (24) Type -> . INT
    (25) Type -> . BOOLEAN
    (26) Type -> . STRING
    (27) Type -> . IDEN
    (28) Type -> . Array
    (29) Array -> . Type LEFTSQRBRACKET RIGHTSQRBRACKET

    INT             shift and go to state 22
    BOOLEAN         shift and go to state 24
    STRING          shift and go to state 20
    IDEN            shift and go to state 13

    Array                          shift and go to state 25
    Type                           shift and go to state 56

state 51

    (22) IdenTypeCommaList -> empty .

    RIGHTPARENT     reduce using rule 22 (IdenTypeCommaList -> empty .)


state 52

    (30) Block -> LEFTBRACE VarDeclList . StmtList RIGHTBRACE
    (31) StmtList -> . Stmt StmtList
    (32) StmtList -> . empty
    (40) Stmt -> . Assign SEMICOLON
    (41) Stmt -> . Call SEMICOLON
    (42) Stmt -> . Return
    (43) Stmt -> . IfStmt
    (44) Stmt -> . WhileStmt
    (45) Stmt -> . BREAK SEMICOLON
    (46) Stmt -> . CONTINUE SEMICOLON
    (47) Stmt -> . Block
    (108) empty -> .
    (48) Assign -> . Location ASSIGNMENT Expr
    (52) Call -> . Method LEFTPARENT Actuals RIGHTPARENT
    (59) Return -> . RETURN ReturnExpr SEMICOLON
    (62) IfStmt -> . IF LEFTPARENT Expr RIGHTPARENT Stmt ElseStmt
    (65) WhileStmt -> . WHILE LEFTPARENT Expr RIGHTPARENT Stmt
    (30) Block -> . LEFTBRACE VarDeclList StmtList RIGHTBRACE
    (49) Location -> . IDEN
    (50) Location -> . Expr DOT IDEN
    (51) Location -> . Expr LEFTSQRBRACKET Expr RIGHTSQRBRACKET
    (53) Method -> . IDEN
    (54) Method -> . Expr DOT IDEN
    (66) Expr -> . Location
    (67) Expr -> . Call
    (68) Expr -> . THIS
    (69) Expr -> . NewId
    (70) Expr -> . NewTypeExpr
    (71) Expr -> . ExprLength
    (72) Expr -> . ExprBinaryExpr
    (73) Expr -> . UnaryExpr
    (74) Expr -> . Literal
    (75) Expr -> . Number
    (76) Expr -> . ParentExprParent
    (77) NewId -> . NEW IDEN LEFTPARENT RIGHTPARENT
    (78) NewTypeExpr -> . NEW Type LEFTSQRBRACKET Expr LEFTSQRBRACKET
    (79) ExprLength -> . Expr DOT LENGTH
    (80) ExprBinaryExpr -> . Expr ADDITION Expr
    (81) ExprBinaryExpr -> . Expr SUBSTRACTION Expr
    (82) ExprBinaryExpr -> . Expr MULTIPLICATION Expr
    (83) ExprBinaryExpr -> . Expr DIVISION Expr
    (84) ExprBinaryExpr -> . Expr MODULO Expr
    (85) ExprBinaryExpr -> . Expr AND Expr
    (86) ExprBinaryExpr -> . Expr OR Expr
    (87) ExprBinaryExpr -> . Expr CONCAT Expr
    (88) ExprBinaryExpr -> . Expr LESS Expr
    (89) ExprBinaryExpr -> . Expr LESSEQUAL Expr
    (90) ExprBinaryExpr -> . Expr GREATER Expr
    (91) ExprBinaryExpr -> . Expr GREATEREQUAL Expr
    (92) ExprBinaryExpr -> . Expr EQUAL Expr
    (93) ExprBinaryExpr -> . Expr NOTEQUAL Expr
    (94) UnaryExpr -> . UnaryMinus
    (95) UnaryExpr -> . NOT
    (97) Literal -> . INT
    (98) Literal -> . STRING
    (99) Literal -> . TRUE
    (100) Literal -> . FALSE
    (101) Literal -> . NULL
    (103) Number -> . CIENTIFIC
    (104) Number -> . HEXADEC
    (105) Number -> . NUMBER
    (106) Number -> . BINARY
    (107) Number -> . FLOAT
    (102) ParentExprParent -> . LEFTPARENT Expr RIGHTPARENT
    (96) UnaryMinus -> . SUBSTRACTION Expr

  ! shift/reduce conflict for BREAK resolved as shift
  ! shift/reduce conflict for CONTINUE resolved as shift
  ! shift/reduce conflict for RETURN resolved as shift
  ! shift/reduce conflict for IF resolved as shift
  ! shift/reduce conflict for WHILE resolved as shift
  ! shift/reduce conflict for LEFTBRACE resolved as shift
  ! shift/reduce conflict for IDEN resolved as shift
  ! shift/reduce conflict for THIS resolved as shift
  ! shift/reduce conflict for NEW resolved as shift
  ! shift/reduce conflict for NOT resolved as shift
  ! shift/reduce conflict for INT resolved as shift
  ! shift/reduce conflict for STRING resolved as shift
  ! shift/reduce conflict for TRUE resolved as shift
  ! shift/reduce conflict for FALSE resolved as shift
  ! shift/reduce conflict for NULL resolved as shift
  ! shift/reduce conflict for CIENTIFIC resolved as shift
  ! shift/reduce conflict for HEXADEC resolved as shift
  ! shift/reduce conflict for NUMBER resolved as shift
  ! shift/reduce conflict for BINARY resolved as shift
  ! shift/reduce conflict for FLOAT resolved as shift
  ! shift/reduce conflict for LEFTPARENT resolved as shift
  ! shift/reduce conflict for SUBSTRACTION resolved as shift
    BREAK           shift and go to state 94
    CONTINUE        shift and go to state 95
    $end            reduce using rule 108 (empty -> .)
    RIGHTBRACE      reduce using rule 108 (empty -> .)
    SEMICOLON       reduce using rule 108 (empty -> .)
    RIGHTPARENT     reduce using rule 108 (empty -> .)
    COMMA           reduce using rule 108 (empty -> .)
    ELSE            reduce using rule 108 (empty -> .)
    RETURN          shift and go to state 58
    IF              shift and go to state 87
    WHILE           shift and go to state 60
